                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5613,                 2.6114,                 1.6351,                 1.7311,                 2.9904,                 1.5616,                0.42642,                0.08194,                0.04367,                0.02145,                 2.0321,                 4.9007,                  2.131,                 2.0038,                  5.249,                 1.9806,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.5137,                 2.4367,                 1.5697,                 1.7468,                 2.7963,                 1.5077,                0.38093,                0.12131,                0.08389,                   0.05,                 1.9665,                 8.8351,                  2.137,                 2.0654,                 7.8697,                 1.9569,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.6012,                 2.4273,                 1.7031,                 1.8199,                 2.8317,                 1.6315,                0.19061,                0.19169,                0.08909,                0.05194,                 2.0239,                   12.1,                 2.1687,                 2.0842,                 7.3663,                 2.0035,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.458,                 2.2543,                 1.5709,                 1.6572,                 2.6147,                 1.5438,                0.12138,                0.12591,                0.05763,                 0.0364,                 1.9219,                 9.5955,                 2.0679,                 1.9345,                 6.4612,                 1.8864,              0.0010753,              0.0010753,              0.0010753
                     28,                  1.438,                 2.1312,                 1.5515,                 1.7191,                 2.5548,                 1.5268,                0.06663,                0.19296,                0.04964,                0.03075,                 1.9936,                 4.8591,                 2.1379,                 1.9381,                 4.4615,                 1.8301,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.4979,                 2.3538,                 1.5755,                  1.837,                 2.7727,                 1.5318,                0.10796,                0.11782,                0.04412,                0.02434,                 1.9623,                 3.5998,                 2.0691,                 1.9422,                  3.947,                  1.839,               0.001047,               0.001047,               0.001047
                     30,                 1.4759,                 2.2095,                 1.5287,                 1.7106,                  2.546,                 1.4757,                0.09946,                0.14485,                0.05859,                0.03457,                 1.9334,                 3.5686,                  2.003,                 1.8886,                 4.0001,                 1.7962,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3907,                 2.1138,                 1.4857,                 1.6206,                 2.5202,                 1.4722,                0.13163,                0.16555,                 0.0731,                0.03789,                  1.969,                  3.678,                 2.0123,                 2.0113,                 3.9569,                 1.8284,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.4631,                 2.2216,                 1.5422,                 1.6697,                 2.5853,                 1.4945,                0.17909,                 0.2437,                0.10175,                0.05412,                  1.973,                 3.6377,                 2.0077,                 2.0499,                 3.8121,                 1.8598,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3965,                 2.1133,                 1.5257,                 1.6639,                 2.4817,                 1.5002,                0.14949,                0.21021,                 0.0784,                0.03652,                  1.957,                 3.4477,                 1.9761,                 2.0798,                 3.6561,                   1.81,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.418,                 2.1088,                 1.5006,                 1.6664,                 2.4823,                  1.473,                0.09342,                0.16383,                0.06226,                0.03165,                 1.9478,                 3.4043,                 1.9197,                 2.0935,                 3.8887,                 1.8466,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.436,                 2.0494,                 1.4679,                 1.7301,                 2.4087,                 1.4635,                0.08033,                0.16514,                0.07218,                0.03925,                  1.868,                 3.5092,                 1.9313,                 2.0142,                 3.9077,                 1.7984,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.4384,                 2.1735,                 1.5393,                 1.7102,                 2.5198,                 1.5018,                0.11019,                0.19165,                0.06644,                0.03291,                 1.8677,                  3.289,                 1.9115,                 2.0127,                  3.642,                 1.8157,               0.000948,               0.000948,               0.000948
                     37,                 1.3585,                 2.0583,                 1.4533,                 1.6665,                 2.3659,                 1.4477,                 0.1056,                0.21105,                0.06724,                0.03562,                 1.8633,                 3.4248,                 1.9274,                 1.9693,                 3.7573,                 1.7769,             0.00093385,             0.00093385,             0.00093385
